scenario,beta,mean_peak,mean_final_inf,mean_final_rec,mean_deaths
Быстрое выявление,0.1,0.000888888888888889,0.0,0.0011111111111111111,0.0
Быстрое выявление,0.2,0.0013333333333333333,0.0,0.0012223704197695529,0.3333333333333333
Быстрое выявление,0.3,0.6656501985045499,0.6430037295949922,0.023774048182785557,152.0
Быстрое выявление,0.4,0.33499999999999996,0.32326997142502173,0.012063361908311589,105.66666666666667
Быстрое выявление,0.5,0.6667777777777778,0.664391353811149,0.002386423966628745,229.0
Быстрое выявление,0.6,0.6667777777777778,0.6627731725697061,0.004004605208071673,220.0
Быстрое выявление,0.7,1.0,0.9834022445647802,0.016597755435219828,359.0
Быстрое выявление,0.8,1.0,0.9472248902649083,0.05277510973509177,351.3333333333333
Быстрое выявление,0.9,1.0,0.9658227117467625,0.03417728825323762,392.6666666666667
Быстрое выявление,1.0,1.0,1.0,0.0,409.0
Базовое выявление,0.1,0.000888888888888889,0.0,0.0011111111111111111,0.0
Базовое выявление,0.2,0.33220598031510795,0.3199674569967457,0.013810320781032078,44.0
Базовое выявление,0.3,0.6666591538157375,0.6439546941619719,0.022823083615805862,208.0
Базовое выявление,0.4,0.6668888888888889,0.6297222203377437,0.03716666855114512,226.66666666666666
Базовое выявление,0.5,1.0,0.9966253028541973,0.003374697145802746,317.6666666666667
Базовое выявление,0.6,1.0,0.9933517224548868,0.0066482775451131675,348.0
Базовое выявление,0.7,1.0,0.9621267723266413,0.03787322767335867,361.3333333333333
Базовое выявление,0.8,1.0,0.9463482958474646,0.05365170415253554,356.3333333333333
Базовое выявление,0.9,1.0,0.9634783387470343,0.036521661252965736,385.6666666666667
Базовое выявление,1.0,1.0,1.0,0.0,407.3333333333333
Позднее выявление,0.1,0.0013333333333333333,0.0,0.003222222222222222,0.0
Позднее выявление,0.2,0.33343682994279655,0.3316796598157335,0.0020981179620442555,59.333333333333336
Позднее выявление,0.3,0.6667777777777778,0.6574880461471992,0.009289731630578505,206.66666666666666
Позднее выявление,0.4,1.0,0.9760561614642095,0.023943838535790397,322.0
Позднее выявление,0.5,1.0,0.9993731979440893,0.0006268020559107434,340.3333333333333
Позднее выявление,0.6,1.0,0.99506324248032,0.0049367575196798885,363.0
Позднее выявление,0.7,1.0,0.9546243140986239,0.045375685901376084,372.6666666666667
Позднее выявление,0.8,1.0,0.9452865919657542,0.05471340803424584,371.6666666666667
Позднее выявление,0.9,1.0,0.9710161508967486,0.028983849103251347,390.6666666666667
Позднее выявление,1.0,1.0,1.0,0.0,382.6666666666667
