migration_intensity,seed,mode,peak_time,peak_value
0.0,42,Без карантина,14.0,0.33311103701233746
0.0,42,С карантином,14.0,0.33311103701233746
0.0,43,Без карантина,14.0,0.3333333333333333
0.0,43,С карантином,14.0,0.3333333333333333
0.0,44,Без карантина,17.0,0.3333333333333333
0.0,44,С карантином,17.0,0.3333333333333333
0.1,42,Без карантина,16.0,1.0
0.1,42,С карантином,17.0,1.0
0.1,43,Без карантина,15.0,1.0
0.1,43,С карантином,17.0,1.0
0.1,44,Без карантина,35.0,1.0
0.1,44,С карантином,33.0,1.0
0.2,42,Без карантина,16.0,1.0
0.2,42,С карантином,17.0,1.0
0.2,43,Без карантина,15.0,1.0
0.2,43,С карантином,15.0,1.0
0.2,44,Без карантина,17.0,1.0
0.2,44,С карантином,17.0,1.0
0.3,42,Без карантина,15.0,1.0
0.3,42,С карантином,15.0,1.0
0.3,43,Без карантина,17.0,1.0
0.3,43,С карантином,17.0,1.0
0.3,44,Без карантина,19.0,1.0
0.3,44,С карантином,19.0,1.0
0.4,42,Без карантина,18.0,1.0
0.4,42,С карантином,19.0,1.0
0.4,43,Без карантина,18.0,1.0
0.4,43,С карантином,18.0,1.0
0.4,44,Без карантина,21.0,1.0
0.4,44,С карантином,21.0,1.0
0.5,42,Без карантина,20.0,1.0
0.5,42,С карантином,21.0,1.0
0.5,43,Без карантина,21.0,1.0
0.5,43,С карантином,21.0,1.0
0.5,44,Без карантина,19.0,1.0
0.5,44,С карантином,19.0,1.0
