num_servers,replication,lambda,mu,rho,avg_waiting_time,avg_system_time,max_queue_length,utilization
2,1,0.9,0.5,0.9,3.8264869014104352,5.722062726826573,15,0.8229752341877755
2,2,0.9,0.5,0.9,2.149304191374169,4.110220178711033,9,0.8102857757739514
2,3,0.9,0.5,0.9,4.976842604744021,7.0774545607934325,17,0.882655491950104
2,4,0.9,0.5,0.9,3.1612530283751465,5.15147479513547,10,0.9026150959039378
2,5,0.9,0.5,0.9,6.3327560123694795,8.251619418145841,19,0.9271382732018859
3,1,0.9,0.5,0.6,0.2958743911731297,2.265696909366883,4,0.5980129113501043
3,2,0.9,0.5,0.6,0.4815993697483869,2.4012992384465672,5,0.5550181137778506
3,3,0.9,0.5,0.6,0.791871784294826,3.02783541739945,5,0.685801887296352
3,4,0.9,0.5,0.6,0.5114411807754743,2.489916992141571,10,0.6437210525247802
3,5,0.9,0.5,0.6,0.5209322703057954,2.7021050668575617,5,0.6846609368795108
4,1,0.9,0.5,0.45,0.05325860288128704,2.0302930423647783,3,0.4494626652563842
4,2,0.9,0.5,0.45,0.08679118351026473,2.11378302407223,3,0.4180689195328182
4,3,0.9,0.5,0.45,0.13667212104832097,2.185496846617141,6,0.48502724114004814
4,4,0.9,0.5,0.45,0.12202926401131353,2.251198136893852,4,0.5216719378180126
4,5,0.9,0.5,0.45,0.16888657701125692,2.412589571811113,5,0.5211036157868894
5,1,0.9,0.5,0.36,0.004352607140844871,2.0684565577560097,1,0.3649790754683826
5,2,0.9,0.5,0.36,0.06618668475567505,2.1470018757971903,4,0.42055218669900957
5,3,0.9,0.5,0.36,0.006636511646975869,2.072933492811998,2,0.35777717322516706
5,4,0.9,0.5,0.36,0.005015346708047588,1.9924037022583259,1,0.35191771037872577
5,5,0.9,0.5,0.36,0.017695764203841547,2.1675024598824364,1,0.34256757494674955
