time,event,operating_machines,spares_available,repair_queue,repairers_busy,broken_total,failed
0.0,start,5,3,0,0,0,false
0.26133212586334453,machine_failure_start_repair,5,2,0,1,1,false
1.0695296777226306,repair_complete,5,3,0,0,0,false
1.980119136348147,machine_failure_start_repair,5,2,0,1,1,false
2.100395817424485,machine_failure_queue_repair,5,1,1,1,2,false
2.1155058946969127,repair_complete_start_next,5,2,0,1,1,false
3.194442804165285,machine_failure_queue_repair,5,1,1,1,2,false
4.6110654398629,machine_failure_queue_repair,5,0,2,1,3,false
5.857753179240397,repair_complete_start_next,5,1,1,1,2,false
7.331945637803075,repair_complete_start_next,5,2,0,1,1,false
7.932158344384029,machine_failure_queue_repair,5,1,1,1,2,false
9.387746643561233,repair_complete_start_next,5,2,0,1,1,false
10.768973163378769,repair_complete,5,3,0,0,0,false
13.238698019471327,machine_failure_start_repair,5,2,0,1,1,false
16.97217162797893,machine_failure_queue_repair,5,1,1,1,2,false
19.327174377974927,repair_complete_start_next,5,2,0,1,1,false
24.723464091135124,repair_complete,5,3,0,0,0,false
24.739808344964004,machine_failure_start_repair,5,2,0,1,1,false
25.670325264440443,machine_failure_queue_repair,5,1,1,1,2,false
26.328378666015546,repair_complete_start_next,5,2,0,1,1,false
26.9587568848502,machine_failure_queue_repair,5,1,1,1,2,false
28.591662797837685,machine_failure_queue_repair,5,0,2,1,3,false
29.01862811837929,repair_complete_start_next,5,1,1,1,2,false
30.62747670150728,repair_complete_start_next,5,2,0,1,1,false
32.51246043850314,repair_complete,5,3,0,0,0,false
33.33168129875945,machine_failure_start_repair,5,2,0,1,1,false
34.19021370460736,repair_complete,5,3,0,0,0,false
36.18333037539435,machine_failure_start_repair,5,2,0,1,1,false
36.938667463427876,repair_complete,5,3,0,0,0,false
40.67964354090687,machine_failure_start_repair,5,2,0,1,1,false
41.23359892972106,repair_complete,5,3,0,0,0,false
41.78388081327103,machine_failure_start_repair,5,2,0,1,1,false
42.76722415809142,machine_failure_queue_repair,5,1,1,1,2,false
42.91333610833812,repair_complete_start_next,5,2,0,1,1,false
43.91477621875073,machine_failure_queue_repair,5,1,1,1,2,false
44.6264536780378,repair_complete_start_next,5,2,0,1,1,false
46.0537125134725,repair_complete,5,3,0,0,0,false
47.769967700355174,machine_failure_start_repair,5,2,0,1,1,false
48.68277369383745,machine_failure_queue_repair,5,1,1,1,2,false
50.466780175221515,machine_failure_queue_repair,5,0,2,1,3,false
52.65594513083521,repair_complete_start_next,5,1,1,1,2,false
55.153457046624695,machine_failure_queue_repair,5,0,2,1,3,false
55.54336030900839,repair_complete_start_next,5,1,1,1,2,false
55.88195688954026,machine_failure_queue_repair,5,0,2,1,3,false
58.05401612225916,repair_complete_start_next,5,1,1,1,2,false
58.90155296583707,machine_failure_queue_repair,5,0,2,1,3,false
61.67275161810826,repair_complete_start_next,5,1,1,1,2,false
62.43045389620028,machine_failure_queue_repair,5,0,2,1,3,false
63.25611585600388,repair_complete_start_next,5,1,1,1,2,false
65.30213357261205,machine_failure_queue_repair,5,0,2,1,3,false
68.61697048397791,system_failure,5,0,2,1,3,true
