replication,seed,time_to_failure,failed,avg_repair_queue,repairer_utilization
1,123,68.61697048397791,true,0.6764863135848384,0.8181522546775973
2,124,17.052832638141023,true,0.6809869937269215,0.6920814549642623
3,125,40.32570674819895,true,0.268042911960031,0.4361533481707719
4,126,17.82755968038398,true,0.7807387232845897,0.7616998688682436
5,127,35.89503114086948,true,0.1929117075391108,0.5922728135477642
6,128,25.275858670470498,true,0.2755120629542367,0.6231288453958717
7,129,24.998540515696064,true,1.0525697576322295,0.9267414636228495
8,130,16.82632030523998,true,0.5013512721842157,0.6396732277080582
9,131,7.085129616417586,true,0.27787665069564904,0.7595494853868789
10,132,35.94955994650175,true,0.7265456927697774,0.8635984489029975
11,133,3.2655968059633764,true,0.45100187341910225,0.9947142054449013
12,134,15.052683637301934,true,0.2847787157628869,0.5005142245608428
13,135,21.48564588278277,true,0.7197331240709595,0.7713744082303147
14,136,23.163787245966272,true,0.44431917221970846,0.787078045111537
15,137,10.404826712004743,true,0.5425578616111129,0.7760764717011387
16,138,22.377523655643152,true,0.45173792921032974,0.5179255214288208
17,139,3.482869472288178,true,0.008942801131934358,0.6964748435890297
18,140,18.854713617201764,true,0.08840238649143392,0.3882601579067213
19,141,8.758329612226666,true,0.8690814677857165,0.9376260253603891
20,142,16.595664558381028,true,0.20981466607131158,0.44632340574051627
21,143,36.89350999902495,true,0.2847516245413092,0.554146389436845
22,144,24.858284692406205,true,0.8568251927358753,0.7341030779459482
23,145,3.8132134287272357,true,0.1866408918508457,0.16613866084300452
24,146,4.379915121284149,true,0.8477384758282179,0.8825316551025163
25,147,13.780176797343433,true,0.4227213458700052,0.5451789181958789
26,148,19.319411473382043,true,0.4048731807776032,0.6057940001968131
27,149,9.38992990796746,true,0.4761669046968525,0.9527768245341223
28,150,30.748194556814727,true,0.24482983906047298,0.705172743736107
29,151,13.738025479953642,true,0.1877054044368924,0.35924159184240056
30,152,3.9156188929761906,true,0.24398653821228783,0.2357835994506956
31,153,19.153697034871126,true,0.24385602196896627,0.44481559203617954
32,154,9.763365304151176,true,0.5096527848465496,0.8917515057445202
33,155,23.311879210445795,true,0.2506046004665145,0.5420327688791243
34,156,16.17401747917281,true,0.7274611872526031,0.8118869087018237
35,157,17.397926096333943,true,0.38395888796833894,0.6668217087812885
36,158,30.263420546354574,true,0.6411071642133076,0.5210307571399896
37,159,6.961191203108073,true,0.3386068015896708,0.31114635064984375
38,160,17.95558165808397,true,0.47217803597909386,0.4782715719547557
39,161,35.03899037118041,true,0.3579509525142905,0.6989573970609096
40,162,11.03481121512476,true,0.7081906207317115,0.8427516852511437
41,163,14.018826888559055,true,1.292446521418952,0.8026330707259316
42,164,11.32107732137714,true,0.411320989405609,0.5870160803822916
43,165,23.808293353813028,true,0.6614452566210304,0.867382949023549
44,166,19.172617837021708,true,0.3528720196928059,0.6742374521685396
45,167,2.751787046446887,true,0.4216316167804563,0.9025694935615004
46,168,19.21758303827884,true,0.24814472547027996,0.34468838534771934
47,169,6.993253659458948,true,0.7035858730825137,0.8829041193161399
48,170,36.80706540218332,true,0.44518534406074106,0.5934836433192273
49,171,24.740004608621387,true,0.33156523032790125,0.6905114139452712
50,172,19.092756044944473,true,0.44509502665905726,0.49248434414996506
51,173,23.04957655749806,true,0.5054201111260078,0.6739102925165605
52,174,7.30045207271076,true,0.592349528962469,0.9797945053567412
53,175,4.020331037528109,true,0.6897927125261955,0.6059394169303002
54,176,15.762714710961832,true,0.49791401928269746,0.6297697977136014
55,177,22.847556171156054,true,0.18269876485598482,0.3590646609339422
56,178,60.363095198455895,true,0.3362561134404077,0.4452078714785507
57,179,10.466612184194881,true,0.8120037565101067,0.9875307212733213
58,180,8.535478936887195,true,0.4109052306116206,0.5703721089199313
59,181,24.583486202540872,true,0.4771417722656699,0.4662382164442219
60,182,6.183588189059436,true,0.8791795954024099,0.9258785569398421
61,183,10.431681295694222,true,0.830393399372525,0.8513385304313426
62,184,5.495030157974732,true,0.6654898671474416,0.8277638075749655
63,185,8.617989436956083,true,0.4039903832389539,0.43093382390119256
64,186,35.87942353203889,true,0.46092562954402627,0.6530001781717265
65,187,32.634985202665945,true,0.3764693530175158,0.6078382530481772
66,188,7.042664988594667,true,0.7685532536861427,0.6741044221406801
67,189,4.1591422090920664,true,0.19564523252407168,0.23641929305678336
68,190,4.681403163517871,true,0.5948539466057714,0.8154136165058021
69,191,34.34630829038175,true,0.08383160285139121,0.5111101885562659
70,192,15.31364283384171,true,0.18480707547817252,0.5125018028348527
71,193,4.372303635060538,true,0.888565616925784,0.9272444898084994
72,194,13.728633826561145,true,0.5345154609794123,0.3191066577452135
73,195,8.769617168653312,true,0.7664500574866494,0.7441276767961601
74,196,20.971741108677495,true,0.5403260260822972,0.5450393686144461
75,197,5.542221854648573,true,0.18942917530200404,0.417925907495671
76,198,26.929855930759675,true,0.38485952213191843,0.6042366172161001
77,199,46.99699700788279,true,0.1822273816194648,0.6028009123140733
78,200,11.828051257787736,true,0.21555070290332107,0.5779664520082565
79,201,21.530561998615596,true,0.5616509452467952,0.535775422650052
80,202,11.879741652453282,true,0.4784486983291928,0.7647158625653122
81,203,32.604240170491536,true,0.42794908799211634,0.7279708443300982
82,204,9.699499751516095,true,0.2806713433841951,0.5487089503438324
83,205,11.85880922438085,true,0.8038822078899078,0.6994955220478561
84,206,17.72634886765557,true,0.29996468274446964,0.7681721513282272
85,207,36.1889078169482,true,0.5029620964825545,0.6944449248898867
86,208,10.062194887535654,true,0.6143884798633288,0.8736554379586322
87,209,35.94644252524003,true,0.3138252900589409,0.6111711633519953
88,210,3.442552258328187,true,1.0682104437794508,0.9694763808323661
89,211,5.8134229606190795,true,0.22344410059838535,0.1293083513396462
90,212,25.959105122419828,true,0.4520858326029808,0.5517998578123272
91,213,14.32017125213768,true,0.4806978369898762,0.6500065682342918
92,214,19.91755253000922,true,0.3543744270606868,0.43897905728484077
93,215,13.774339034910685,true,0.22668174200153882,0.3884313156658732
94,216,27.398195192329798,true,0.4356805715531846,0.639056507954336
95,217,27.63021742317377,true,0.3038026668403925,0.44750017192857217
96,218,5.01888568886259,true,0.22428521576971433,0.9082463359962272
97,219,27.241932214408397,true,0.25761746068145736,0.6371936211487269
98,220,14.86075076922434,true,0.7128270999283219,0.8322266046114106
99,221,10.150226578458192,true,0.6535006027138173,0.7577662772619991
100,222,16.309477295484065,true,0.485444137355467,0.6808965227791481
