scenario,beta,c,gamma,mean_reproduction_number,mean_peak_I,std_peak_I,mean_peak_time,mean_final_size,std_final_size,mean_events_count
beta_scan,0.03,10.0,0.25,1.2,20.6,14.926486525636232,15.425497777094629,150.6,170.7697279965041,292.8
beta_scan,0.05,10.0,0.25,2.0,177.0,8.276472678623424,17.025532650005907,804.0,24.73863375370596,1598.0
beta_scan,0.07,10.0,0.25,2.8000000000000003,288.6,27.835229476330888,12.334386094183685,931.6,14.501724035437993,1853.2
contact_scan,0.05,6.0,0.25,1.2000000000000002,54.6,15.852444606432158,26.663344136678795,380.4,86.48583699080444,751.4
contact_scan,0.05,10.0,0.25,2.0,170.2,20.141995928904365,17.817169477401716,806.2,25.859234327411937,1602.4
contact_scan,0.05,14.0,0.25,2.8000000000000003,265.2,11.64903429473877,13.043362538909594,914.0,7.14142842854285,1818.0
gamma_scan,0.05,10.0,0.15,3.3333333333333335,357.8,12.357184145265458,15.903176373964977,958.8,10.084641788382967,1907.6
gamma_scan,0.05,10.0,0.25,2.0,175.0,20.211382931407737,17.483319563826388,820.6,19.81918262693999,1631.2
gamma_scan,0.05,10.0,0.35,1.4285714285714286,70.2,21.02855201862458,18.434313771643293,533.6,59.47100133678598,1057.2
